▶ skipping venv without pytest: /c/Users/given/hermes-audit/hermes-agent/.venv
▶ running per-file parallel test suite via run_tests_parallel.py
  (TZ=UTC LANG=C.UTF-8 PYTHONHASHSEED=0; clean env)
▶ pre-compiling bytecode cache
▶ launching test runner
Discovered 3152 test files (~31960 tests) under ['tests']; running with -j 32
[  0.0% |     3/~31960 | ✓3 | ✗0] ✓ tests\acp\test_auth.py (3✓, 12.9s)
[ 16.5% |  5264/~31960 | ✓5869 | ✗  23] ✓ tests\cron\test_cron_origin_synthetic_thread.py (4✓, 7.9s)
[ 16.5% |  5270/~31960 | ✓5875 | ✗  23] ✓ tests\cron\test_cron_inactivity_timeout.py (6✓, 10.7s)
[ 16.5% |  5280/~31960 | ✓5885 | ✗  23] ✓ tests\cron\test_cron_relay_delivery_guards.py (10✓, 9.1s)
[ 16.5% |  5281/~31960 | ✓5886 | ✗  23] ✓ tests\cron\test_cronjob_schema.py (1✓, 5.8s)
[ 16.6% |  5293/~31960 | ✓5898 | ✗  23] ✓ tests\cron\test_claim_job_for_fire.py (12✓, 22.1s)
[ 16.6% |  5299/~31960 | ✓5902 | ✗  23] ✓ tests\cli\test_worktree_security.py (4✓ 2s, 32.7s)
[ 16.6% |  5302/~31960 | ✓5905 | ✗  23] ✓ tests\cron\test_cron_drift_alert_once.py (3✓, 19.1s)
[ 16.6% |  5309/~31960 | ✓5906 | ✗  23] ✓ tests\cron\test_file_permissions.py (1✓ 6s, 5.6s)
[ 16.6% |  5312/~31960 | ✓5909 | ✗  23] ✓ tests\cron\test_cleanup_timeout.py (3✓, 25.6s)
[ 16.6% |  5320/~31960 | ✓5917 | ✗  23] ✓ tests\cron\test_dead_owner_claim_reclaim.py (8✓, 10.6s)
[ 16.6% |  5321/~31960 | ✓5917 | ✗  23] ✓ tests\cron\test_jobs_crossprocess_lock.py (1s, 4.0s)
[ 16.8% |  5363/~31960 | ✓6088 | ✗  23] ✓ tests\cli\test_modify_other_keys_aliases.py (171✓, 53.4s)
[ 16.8% |  5377/~31960 | ✓6102 | ✗  23] ✓ tests\cron\test_cron_prompt_injection_skill.py (14✓, 18.2s)
[ 16.8% |  5380/~31960 | ✓6105 | ✗  23] ✓ tests\cron\test_cron_run_stale_claim_reap_86721.py (3✓, 14.5s)
[ 16.9% |  5393/~31960 | ✓6123 | ✗  23] ✓ tests\cron\test_cron_no_agent.py (18✓, 20.6s)
[ 16.9% |  5402/~31960 | ✓6123 | ✗  23] ✓ tests\cron\test_jobs_file_ownership.py (9s, 4.1s)
[ 16.9% |  5404/~31960 | ✓6125 | ✗  23] ✓ tests\cron\test_codex_execution_paths.py (2✓, 29.5s)
[ 16.9% |  5407/~31960 | ✓6128 | ✗  23] ✓ tests\cron\test_idle_tick_config_skip.py (3✓, 8.3s)
[ 16.9% |  5417/~31960 | ✓6138 | ✗  23] ✓ tests\cli\test_tool_progress_scrollback.py (10✓, 43.2s)
[ 17.0% |  5429/~31960 | ✓6150 | ✗  23] ✓ tests\cron\test_cron_created_delivery.py (12✓, 30.3s)
[ 17.0% |  5444/~31960 | ✓6165 | ✗  23] ✓ tests\cron\test_cron_workdir.py (15✓, 17.4s)
[ 17.1% |  5459/~31960 | ✓6180 | ✗  23] ✓ tests\cli\test_resume_display.py (15✓, 55.2s)
[ 17.1% |  5465/~31960 | ✓6186 | ✗  23] ✓ tests\cron\test_jobs_changed_notify.py (6✓, 10.9s)
[ 17.2% |  5488/~31960 | ✓6209 | ✗  23] ✓ tests\cron\test_cron_context_from.py (23✓, 33.1s)
[ 17.2% |  5495/~31960 | ✓6216 | ✗  23] ✓ tests\cron\test_fire_forward_failure_stamp.py (7✓, 13.4s)
[ 17.2% |  5502/~31960 | ✓6226 | ✗  23] ✓ tests\cron\test_media_send_timeout.py (10✓, 10.1s)
[ 17.2% |  5505/~31960 | ✓6229 | ✗  23] ✓ tests\cron\test_reasoning_config_per_model.py (3✓, 5.8s)
[ 17.2% |  5511/~31960 | ✓6235 | ✗  23] ✓ tests\cli\test_worktree_selfheal.py (6✓, 48.6s)
[ 17.3% |  5520/~31960 | ✓6244 | ✗  23] ✓ tests\cron\test_jobs_shrink_merge_80624.py (9✓, 12.6s)
[ 17.3% |  5536/~31960 | ✓6260 | ✗  23] ✓ tests\cron\test_cron_provider_pin.py (16✓, 27.4s)
[ 17.4% |  5555/~31960 | ✓6279 | ✗  23] ✓ tests\cron\test_execution_ledger.py (19✓, 23.3s)
[ 17.4% |  5573/~31960 | ✓6297 | ✗  23] ✓ tests\cron\test_cron_kanban_env_isolation.py (18✓, 31.2s)
[ 17.5% |  5597/~31960 | ✓6321 | ✗  23] ✓ tests\cron\test_inflight_stale_guard.py (24✓, 19.3s)
[ 17.5% |  5600/~31960 | ✓6324 | ✗  23] ✓ tests\cron\test_persisted_error_rearm_legality.py (3✓, 11.2s)
[ 17.6% |  5609/~31960 | ✓6333 | ✗  23] ✓ tests\cron\test_relay_fronted_delivery.py (9✓, 8.6s)
[ 17.6% |  5620/~31960 | ✓6344 | ✗  23] ✓ tests\cron\test_parallel_pool.py (11✓, 14.3s)
[ 17.6% |  5621/~31960 | ✓6345 | ✗  23] ✓ tests\cron\test_scheduler_mcp_init.py (1✓, 5.5s)
[ 17.6% |  5623/~31960 | ✓6347 | ✗  23] ✓ tests\cron\test_recurring_eagain_redispatch.py (2✓, 12.3s)
[ 17.6% |  5629/~31960 | ✓6353 | ✗  23] ✓ tests\cli\test_oneshot_resumed_session_persist.py (6✓, 70.7s)
[ 17.6% |  5638/~31960 | ✓6362 | ✗  23] ✓ tests\cron\test_oneshot_dispatch_failure_run_claim.py (9✓, 17.4s)
[ 17.7% |  5641/~31960 | ✓6365 | ✗  23] ✓ tests\cron\test_recurring_persisted_error_recovery.py (3✓, 13.7s)
[ 17.7% |  5650/~31960 | ✓6374 | ✗  23] ✓ tests\cron\test_misfire_catchup.py (9✓, 20.0s)
[ 17.7% |  5657/~31960 | ✓6381 | ✗  23] ✓ tests\cron\test_scheduler_shutdown_guard.py (7✓, 8.6s)
[ 17.8% |  5674/~31960 | ✓6397 | ✗  24] ✗ tests\cron\test_cron_direct_api_call_watchdog.py (16✓ 1✗, 46.0s)

  ╔╍ Failed: tests\cron\test_cron_direct_api_call_watchdog.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║ 
  ║     def test_e2e_cron_turn_is_bounded_through_the_real_agent_routing(monkeypatch):
  ║         """The real chain: cron platform → ``should_use_direct_api_call`` →
  ║         ``direct_api_call`` → the agent's own stale-timeout resolver → the real
  ║         cross-thread abort → a retryable ``TimeoutError`` on the caller."""
  ║         wire = _StallingWireClient()
  ║         agent = _build_cron_agent(monkeypatch)
  ║         agent.client = wire
  ║         monkeypatch.setattr(run_agent, "OpenAI", lambda **_kwargs: wire)
  ║         monkeypatch.setattr(
  ║             run_agent.AIAgent,
  ║             "_force_close_tcp_sockets",
  ║             lambda self, client: (client.sockets_shut_down.set(), 1)[1],
  ║         )
  ║     
  ║         started = time.time()
  ║         with pytest.raises(TimeoutError):
  ║             agent._interruptible_api_call({"model": agent.model, "messages": []})
  ║         elapsed = time.time() - started
  ║     
  ║ >       assert elapsed < 4.0, "cron turn was not bounded by the watchdog"
  ║ E       AssertionError: cron turn was not bounded by the watchdog
  ║ E       assert 6.164823293685913 < 4.0
  ║ 
  ║ tests\cron\test_cron_direct_api_call_watchdog.py:263: AssertionError
  ║ ------------------------------ Captured log call ------------------------------
  ║ WARNING  agent.chat_completion_helpers:chat_completion_helpers.py:782 Inline non-streaming API call stale for 0s (threshold 0s). model=some/model context=~0 tokens. Killing connection.
  ║ =========================== short test summary info ===========================
  ║ FAILED tests/cron/test_cron_direct_api_call_watchdog.py::test_e2e_cron_turn_is_bounded_through_the_real_agent_routing
  ║ ======================== 1 failed, 16 passed in 19.87s ========================
  ║
  ║  Repro: python -m pytest tests\cron\test_cron_direct_api_call_watchdog.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 17.8% |  5682/~31960 | ✓6405 | ✗  24] ✓ tests\cron\test_run_one_job.py (8✓, 11.3s)
[ 17.8% |  5683/~31960 | ✓6406 | ✗  24] ✓ tests\cron\test_scheduler_cron_session_isolation.py (1✓, 11.4s)
[ 17.9% |  5711/~31960 | ✓6432 | ✗  24] ✓ tests\cron\test_cron_script.py (26✓ 2s, 35.4s)
[ 17.9% |  5719/~31960 | ✓6440 | ✗  24] ✓ tests\cron\test_media_delivery_parity.py (8✓, 22.4s)
[ 17.9% |  5727/~31960 | ✓6440 | ✗  24] ✓ tests\cron\test_ticker_stall_60703.py (8s, 5.3s)
[ 17.9% |  5730/~31960 | ✓6443 | ✗  24] ✓ tests\agent\test_verification_stop_caching.py (3✓, 145.4s)
[ 17.9% |  5735/~31960 | ✓6448 | ✗  24] ✓ tests\cron\test_recurring_wedge_selfheal.py (5✓, 20.3s)
[ 18.0% |  5737/~31960 | ✓6450 | ✗  24] ✓ tests\deploy\test_ci_workflow_contract.py (2✓, 6.9s)
[ 18.0% |  5763/~31960 | ✓6476 | ✗  24] ✓ tests\cron\test_notepad.py (26✓, 25.5s)
[ 18.1% |  5772/~31960 | ✓6485 | ✗  24] ✓ tests\cron\test_usage_audit_logger.py (9✓, 10.1s)
[ 18.1% |  5786/~31960 | ✓6499 | ✗  24] ✓ tests\cron\test_rewrite_skill_refs.py (14✓, 20.9s)
[ 18.1% |  5795/~31960 | ✓6508 | ✗  24] ✓ tests\dashboard\test_ws_client_host.py (9✓, 12.0s)
[ 18.2% |  5805/~31960 | ✓6518 | ✗  24] ✓ tests\cron\test_preflight_config.py (10✓, 27.6s)
[ 18.2% |  5818/~31960 | ✓6531 | ✗  24] ✓ tests\cron\test_script_claim_heartbeat.py (13✓ 1s, 18.0s)
[ 18.3% |  5834/~31960 | ✓6547 | ✗  24] ✓ tests\cron\test_suggestions.py (16✓, 14.8s)
[ 18.3% |  5861/~31960 | ✓6574 | ✗  24] ✓ tests\deploy\test_dbb3_connector_session_cache.py (27✓, 11.0s)
[ 18.4% |  5867/~31960 | ✓6580 | ✗  24] ✓ tests\deploy\test_managed_installation_topology.py (6✓, 10.9s)
[ 18.4% |  5895/~31960 | ✓6608 | ✗  24] ✓ tests\cron\test_shutdown_interrupt.py (28✓, 18.5s)
[ 18.5% |  5903/~31960 | ✓6616 | ✗  24] ✓ tests\cron\test_sessiondb_init_hang.py (8✓, 18.7s)
[ 18.5% |  5904/~31960 | ✓6617 | ✗  24] ✓ tests\gateway\platforms\test_yuanbao_recall_db_only.py (1✓, 11.4s)
[ 18.5% |  5914/~31960 | ✓6627 | ✗  24] ✓ tests\cron\test_terminal_cwd_lock.py (10✓, 16.2s)
[ 18.6% |  5944/~31960 | ✓6657 | ✗  24] ✓ tests\cron\test_scheduler_provider.py (30✓, 22.6s)
[ 18.6% |  5950/~31960 | ✓6663 | ✗  24] ✓ tests\gateway\relay\test_auth.py (6✓, 13.2s)
[ 18.6% |  5955/~31960 | ✓6668 | ✗  24] ✓ tests\gateway\platforms\test_yuanbao_state_cleanup.py (5✓, 13.8s)
[ 18.6% |  5956/~31960 | ✓6669 | ✗  24] ✓ tests\gateway\relay\test_contract_doc_conformance.py (1✓, 13.6s)
[ 18.6% |  5959/~31960 | ✓6672 | ✗  24] ✓ tests\gateway\relay\test_channel_context_consume.py (3✓, 13.9s)
[ 18.6% |  5960/~31960 | ✓6673 | ✗  24] ✓ tests\gateway\relay\test_descriptor_from_entry.py (1✓, 13.4s)
[ 18.7% |  5964/~31960 | ✓6677 | ✗  24] ✓ tests\gateway\relay\test_descriptor.py (4✓, 13.6s)
[ 18.7% |  5966/~31960 | ✓6679 | ✗  24] ✓ tests\gateway\relay\test_handoff_relay_aliasing.py (2✓, 13.0s)
[ 18.7% |  5984/~31960 | ✓6697 | ✗  24] ✓ tests\cron\test_monitor_kind.py (18✓, 39.0s)
[ 18.8% |  5997/~31960 | ✓6715 | ✗  24] ✓ tests\gateway\relay\test_identity_token_resolver.py (18✓, 15.4s)
[ 18.8% |  6010/~31960 | ✓6728 | ✗  24] ✓ tests\cli\test_surrogate_sanitization.py (13✓, 85.8s)
[ 18.8% |  6011/~31960 | ✓6729 | ✗  24] ✓ tests\gateway\relay\test_no_stub_leak.py (1✓, 14.9s)
[ 18.8% |  6012/~31960 | ✓6730 | ✗  24] ✓ tests\gateway\relay\test_relay_follow_up.py (1✓, 14.0s)
[ 18.8% |  6024/~31960 | ✓6742 | ✗  24] ✓ tests\gateway\relay\test_relay_adapter.py (12✓, 14.4s)
[ 19.0% |  6060/~31960 | ✓6776 | ✗  26] ✗ tests\cli\test_cli_init.py (34✓ 2✗, 132.0s)

  ╔╍ Failed: tests\cli\test_cli_init.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║ E           KeyError: ('c-j',)
  ║ 
  ║ tests\cli\test_cli_init.py:199: KeyError
  ║ _ TestPromptToolkitTerminalCompatibility.test_cpr_gating_posix_suppresses_without_ssh _
  ║ 
  ║ self = <tests.cli.test_cli_init.TestPromptToolkitTerminalCompatibility object at 0x000002392C237C90>
  ║ monkeypatch = <_pytest.monkeypatch.MonkeyPatch object at 0x0000023930AC6D10>
  ║ 
  ║     def test_cpr_gating_posix_suppresses_without_ssh(self, monkeypatch):
  ║         """POSIX suppresses CPR without SSH.
  ║     
  ║         The native-Windows arm (``_terminal_may_leak_cpr() is False``, plus
  ║         the ``PROMPT_TOOLKIT_NO_CPR`` override that outranks it) lives in
  ║         ``tests/cli/test_cpr_local_leak.py`` under ``windows_only``, where it
  ║         runs against a real Windows console.
  ║         """
  ║         from cli import _terminal_may_leak_cpr
  ║     
  ║         for var in ("SSH_CONNECTION", "SSH_CLIENT", "SSH_TTY", "PROMPT_TOOLKIT_NO_CPR"):
  ║             monkeypatch.delenv(var, raising=False)
  ║     
  ║ >       assert _terminal_may_leak_cpr() is True
  ║ E       assert False is True
  ║ E        +  where False = <function _terminal_may_leak_cpr at 0x0000023930A185E0>()
  ║ 
  ║ tests\cli\test_cli_init.py:263: AssertionError
  ║ =========================== short test summary info ===========================
  ║ FAILED tests/cli/test_cli_init.py::TestPromptToolkitTerminalCompatibility::test_lf_enter_binding_respects_multiline_shortcuts
  ║ FAILED tests/cli/test_cli_init.py::TestPromptToolkitTerminalCompatibility::test_cpr_gating_posix_suppresses_without_ssh
  ║ ======================== 2 failed, 34 passed in 52.70s ========================
  ║
  ║  Repro: python -m pytest tests\cli\test_cli_init.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 19.0% |  6064/~31960 | ✓6780 | ✗  26] ✓ tests\gateway\relay\test_relay_going_idle.py (4✓, 15.3s)
[ 19.0% |  6065/~31960 | ✓6781 | ✗  26] ✓ tests\gateway\relay\test_relay_interrupt.py (1✓, 14.9s)
[ 19.0% |  6076/~31960 | ✓6792 | ✗  26] ✓ tests\gateway\relay\test_relay_interactive.py (11✓, 15.3s)
[ 19.0% |  6081/~31960 | ✓6797 | ✗  26] ✓ tests\gateway\relay\test_relay_media.py (5✓, 14.9s)
[ 19.0% |  6085/~31960 | ✓6801 | ✗  26] ✓ tests\gateway\relay\test_relay_multiplatform.py (4✓, 14.1s)
[ 19.3% |  6157/~31960 | ✓6873 | ✗  26] ✓ tests\cron\test_jobs.py (72✓, 51.5s)
[ 19.3% |  6162/~31960 | ✓6878 | ✗  26] ✓ tests\gateway\relay\test_relay_passthrough.py (5✓, 15.3s)
[ 19.3% |  6167/~31960 | ✓6883 | ✗  26] ✓ tests\gateway\relay\test_relay_policy_send.py (5✓, 15.2s)
[ 19.3% |  6169/~31960 | ✓6885 | ✗  26] ✓ tests\gateway\relay\test_relay_per_platform_caps.py (2✓, 15.8s)
[ 19.3% |  6171/~31960 | ✓6887 | ✗  26] ✓ tests\gateway\relay\test_relay_roundtrip.py (2✓, 15.0s)
[ 19.3% |  6173/~31960 | ✓6889 | ✗  26] ✓ tests\gateway\relay\test_relay_registration.py (2✓, 15.4s)
[ 19.3% |  6174/~31960 | ✓6890 | ✗  26] ✓ tests\gateway\relay\test_relay_sheds_crypto.py (1✓, 12.9s)
[ 19.3% |  6176/~31960 | ✓6892 | ✗  26] ✓ tests\gateway\relay\test_relay_roundtrip_telegram.py (2✓, 13.6s)
[ 19.3% |  6178/~31960 | ✓6894 | ✗  26] ✓ tests\gateway\relay\test_wire_user_identity.py (2✓, 13.6s)
[ 19.4% |  6189/~31960 | ✓6905 | ✗  26] ✓ tests\gateway\relay\test_self_provision.py (11✓, 15.0s)
[ 19.4% |  6192/~31960 | ✓6908 | ✗  26] ✓ tests\gateway\relay\test_ws_transport.py (3✓, 12.3s)
[ 19.4% |  6207/~31960 | ✓6933 | ✗  26] ✓ tests\gateway\relay\test_relay_slack_dm_streaming.py (25✓, 15.9s)
[ 19.5% |  6225/~31960 | ✓6951 | ✗  26] ✓ tests\gateway\relay\test_relay_threads.py (18✓, 16.0s)
[ 19.6% |  6250/~31960 | ✓6976 | ✗  26] ✓ tests\gateway\relay\test_relay_slack_prompt_dm_root.py (25✓, 16.5s)
[ 19.6% |  6253/~31960 | ✓6979 | ✗  26] ✓ tests\gateway\test_10710_auto_reset_evicts_cached_agent.py (3✓, 13.1s)
[ 19.6% |  6255/~31960 | ✓6981 | ✗  26] ✓ tests\gateway\test_25107_stale_base_url_api_mode.py (2✓, 14.0s)
[ 19.6% |  6264/~31960 | ✓6990 | ✗  26] ✓ tests\cli\test_worktree_sync_base.py (9✓, 93.8s)
[ 19.6% |  6266/~31960 | ✓6992 | ✗  26] ✓ tests\gateway\test_48031_model_switch_after_auto_reset.py (2✓, 14.3s)
[ 19.6% |  6270/~31960 | ✓6996 | ✗  26] ✓ tests\gateway\test_7100_transient_failure_transcript.py (4✓, 13.3s)
[ 19.6% |  6272/~31960 | ✓6998 | ✗  26] ✓ tests\gateway\test_13121_shutdown_inflight_transcript_flush.py (2✓, 17.2s)
[ 19.6% |  6275/~31960 | ✓7001 | ✗  26] ✓ tests\gateway\test_35809_auto_reset_clean_context.py (3✓, 16.9s)
[ 19.6% |  6276/~31960 | ✓7002 | ✗  26] ✓ tests\gateway\test_71671_faulthandler_no_stderr.py (1✓, 14.0s)
[ 19.6% |  6279/~31960 | ✓7005 | ✗  26] ✓ tests\gateway\test_35994_reset_button_deadlock.py (3✓, 17.3s)
[ 19.7% |  6282/~31960 | ✓7008 | ✗  26] ✓ tests\gateway\test_53175_cleanup_off_loop.py (3✓, 15.4s)
[ 19.7% |  6284/~31960 | ✓7010 | ✗  26] ✓ tests\gateway\test_42039_duplicate_user_message.py (2✓, 18.4s)
[ 19.7% |  6285/~31960 | ✓7011 | ✗  26] ✓ tests\gateway\test_73297_memory_flush_on_reset.py (1✓, 15.2s)
[ 19.7% |  6296/~31960 | ✓7022 | ✗  26] ✓ tests\gateway\test_abandoned_turn_process_cleanup.py (11✓, 16.0s)
[ 19.7% |  6302/~31960 | ✓7028 | ✗  26] ✓ tests\gateway\test_75349_whatsapp_multiplex_secret_scope.py (6✓, 16.4s)
[ 19.7% |  6309/~31960 | ✓7035 | ✗  26] ✓ tests\gateway\test_active_session_text_merge.py (7✓, 16.1s)
[ 19.7% |  6310/~31960 | ✓7036 | ✗  26] ✓ tests\gateway\test_aiohttp_body_caps.py (1✓, 14.5s)
[ 19.8% |  6322/~31960 | ✓7048 | ✗  26] ✓ tests\gateway\test_73771_media_resend_dedup.py (12✓, 20.0s)
[ 19.8% |  6323/~31960 | ✓7049 | ✗  26] ✓ tests\gateway\test_allowlist_startup_check.py (1✓, 14.0s)
[ 19.8% |  6324/~31960 | ✓7073 | ✗  26] ✓ tests\gateway\test_adapter_connect_is_reconnect_contract.py (24✓, 19.2s)
[ 19.8% |  6325/~31960 | ✓7074 | ✗  26] ✓ tests\gateway\test_agents_command_delegations.py (1✓, 16.4s)
[ 19.9% |  6348/~31960 | ✓7097 | ✗  26] ✓ tests\gateway\test_adapter_connect_classification.py (23✓, 21.7s)
[ 19.9% |  6354/~31960 | ✓7103 | ✗  26] ✓ tests\gateway\test_64674_multiplex_primary_token_scope.py (6✓, 25.8s)
[ 19.9% |  6363/~31960 | ✓7112 | ✗  26] ✓ tests\gateway\test_api_server_bind_guard.py (9✓, 15.6s)
[ 19.9% |  6372/~31960 | ✓7121 | ✗  26] ✓ tests\gateway\test_allowed_channels_widening.py (9✓, 20.4s)
[ 20.0% |  6377/~31960 | ✓7196 | ✗  26] ✓ tests\gateway\test_adapter_startup_secret_scope.py (75✓, 24.9s)
[ 20.0% |  6381/~31960 | ✓7200 | ✗  26] ✓ tests\gateway\test_api_server_media_data_urls.py (4✓, 17.6s)
[ 20.0% |  6387/~31960 | ✓7206 | ✗  26] ✓ tests\gateway\test_api_server_normalize.py (6✓, 16.9s)
[ 20.0% |  6388/~31960 | ✓7207 | ✗  26] ✓ tests\gateway\test_approvals_command.py (1✓, 16.1s)
[ 20.0% |  6396/~31960 | ✓7215 | ✗  26] ✓ tests\gateway\test_api_server_multimodal.py (8✓, 18.3s)
[ 20.0% |  6399/~31960 | ✓7218 | ✗  26] ✓ tests\gateway\test_api_server_multiplex_secret_scope.py (3✓, 18.2s)
[ 20.1% |  6419/~31960 | ✓7238 | ✗  26] ✓ tests\gateway\test_api_server_active_work_drain.py (20✓, 24.9s)
[ 20.1% |  6436/~31960 | ✓7255 | ✗  26] ✓ tests\gateway\test_api_server_jobs.py (17✓, 22.9s)
[ 20.1% |  6438/~31960 | ✓7257 | ✗  26] ✓ tests\gateway\test_async_session_store.py (2✓, 15.8s)
[ 20.1% |  6439/~31960 | ✓7258 | ✗  26] ✓ tests\gateway\test_auth_fallback.py (1✓, 14.7s)
[ 20.2% |  6445/~31960 | ✓7264 | ✗  26] ✓ tests\gateway\test_async_delegation_session_binding.py (6✓, 19.1s)
[ 20.2% |  6451/~31960 | ✓7270 | ✗  26] ✓ tests\gateway\test_audio_cache.py (6✓, 16.4s)
[ 20.2% |  6455/~31960 | ✓7274 | ✗  26] ✓ tests\gateway\test_auto_continue.py (4✓, 15.3s)
[ 20.2% |  6459/~31960 | ✓7278 | ✗  26] ✓ tests\gateway\test_async_session_db.py (4✓, 18.9s)
[ 20.2% |  6462/~31960 | ✓7284 | ✗  26] ✓ tests\gateway\test_auto_voice_reply_format.py (6✓, 15.9s)
[ 20.2% |  6469/~31960 | ✓7291 | ✗  26] ✓ tests\gateway\test_approval_prompt_redaction.py (7✓, 25.1s)
[ 20.3% |  6474/~31960 | ✓7296 | ✗  26] ✓ tests\gateway\test_api_server_toolset.py (5✓, 25.3s)
[ 20.3% |  6476/~31960 | ✓7301 | ✗  26] ✓ tests\gateway\test_base_auto_tts_output_format.py (5✓, 14.5s)
[ 20.3% |  6490/~31960 | ✓7316 | ✗  26] ✓ tests\gateway\test_approve_deny_commands.py (15✓, 24.3s)
[ 20.3% |  6493/~31960 | ✓7319 | ✗  26] ✓ tests\gateway\test_base_topic_sessions.py (3✓, 14.5s)
[ 20.3% |  6499/~31960 | ✓7325 | ✗  26] ✓ tests\gateway\test_async_delivery_capability.py (6✓, 24.9s)
[ 20.4% |  6519/~31960 | ✓7348 | ✗  26] ✓ tests\gateway\test_api_server_runs.py (23✓, 29.7s)
[ 20.4% |  6522/~31960 | ✓7351 | ✗  26] ✓ tests\gateway\test_baseexception_turn_notify.py (3✓, 14.4s)
[ 20.4% |  6524/~31960 | ✓7353 | ✗  26] ✓ tests\gateway\test_bounded_adapter_teardown.py (2✓, 13.6s)
[ 20.4% |  6526/~31960 | ✓7355 | ✗  26] ✓ tests\gateway\test_bundles_command.py (2✓, 14.4s)
[ 20.9% |  6692/~31960 | ✓7536 | ✗  27] ✗ tests\agent\test_auxiliary_client.py (181✓ 1✗, 499.8s)

  ╔╍ Failed: tests\agent\test_auxiliary_client.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║ asyncio: mode=Mode.STRICT, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
  ║ collected 182 items
  ║ 
  ║ tests\agent\test_auxiliary_client.py ................................... [ 19%]
  ║ ........................................................................ [ 58%]
  ║ .............................F.......................................... [ 98%]
  ║ ...                                                                      [100%]
  ║ 
  ║ ================================== FAILURES ===================================
  ║ __ TestVisionAutoSkipsKimiCoding.test_skip_set_covers_exactly_known_entries ___
  ║ 
  ║ self = <tests.agent.test_auxiliary_client.TestVisionAutoSkipsKimiCoding object at 0x000001F58961CED0>
  ║ 
  ║     def test_skip_set_covers_exactly_known_entries(self):
  ║         """Guard against accidental widening of the skip list."""
  ║         from agent.auxiliary_client import _PROVIDERS_WITHOUT_VISION
  ║ >       assert _PROVIDERS_WITHOUT_VISION == frozenset({
  ║             "kimi-coding",
  ║             "kimi-coding-cn",
  ║         })
  ║ E       AssertionError: assert frozenset({'d...i-coding-cn'}) == frozenset({'k...i-coding-cn'})
  ║ E         
  ║ E         Extra items in the left set:
  ║ E         'deepseek'
  ║ E         Use -v to get more diff
  ║ 
  ║ tests\agent\test_auxiliary_client.py:3130: AssertionError
  ║ =========================== short test summary info ===========================
  ║ FAILED tests/agent/test_auxiliary_client.py::TestVisionAutoSkipsKimiCoding::test_skip_set_covers_exactly_known_entries
  ║ ================== 1 failed, 181 passed in 218.74s (0:03:38) ==================
  ║
  ║  Repro: python -m pytest tests\agent\test_auxiliary_client.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 21.2% |  6781/~31960 | ✓7630 | ✗  27] ✓ tests\cron\test_scheduler.py (94✓, 82.1s)
[ 21.3% |  6800/~31960 | ✓7649 | ✗  27] ✓ tests\gateway\test_active_turn_recovery.py (19✓, 45.4s)
[ 21.3% |  6801/~31960 | ✓7650 | ✗  27] ✓ tests\gateway\test_branch_routing_columns.py (1✓, 16.6s)
[ 21.3% |  6808/~31960 | ✓7657 | ✗  27] ✓ tests\gateway\test_background_command.py (7✓, 23.1s)
[ 21.3% |  6811/~31960 | ✓7660 | ✗  27] ✓ tests\gateway\test_busy_session_auth_bypass.py (3✓, 14.1s)
[ 21.4% |  6829/~31960 | ✓7678 | ✗  27] ✓ tests\gateway\test_bluebubbles.py (18✓, 19.1s)
[ 21.4% |  6833/~31960 | ✓7682 | ✗  27] ✓ tests\gateway\test_buzz_websocket.py (4✓, 13.5s)
[ 21.5% |  6864/~31960 | ✓7723 | ✗  27] ✓ tests\gateway\test_agent_cache_pressure.py (41✓, 45.1s)
[ 21.5% |  6874/~31960 | ✓7733 | ✗  27] ✓ tests\gateway\test_busy_session_ack.py (10✓, 16.9s)
